abandon оставить
abate|уменьшаться
abduct|похищать
abide|смириться
able|способный
abnormal|ненормальный
aboard|на борту
abolish|упразднять
abort|прерывать
abound|изобиловать
about|примерно
abroad|за границу
abrupt|крутой
absent|отсутствующий
absorb|впитывать
abundant|обильный
abuse|оскорблять
abuse|злоупотреблять
abuse|насилие
accelerate|ускорять
accept|принять
access|доступ
accessory|принадлежность
accident|случайность
accident|происшествие
acclaim|приветствовать
accommodate|размещать
accompany|сопровождать
accomplish|выполнить
accord|согласие
according to|в соответствии
account|счет
account|отчет
account for|объяснить
accurate|точный
accuse|обвинять
accustom|приучить
ache|боль
achieve|достигать
acid|кислота
acknowledge|признавать
acquaint|знакомить
acquire|обретать
acquit|оправдать
across|за
act|действовать
act on|действовать в соответствии
acute|острый
adamant|непреклонный
add to|увеличивать
add up|сходиться
addict|наркоман
addition|добавление
adhere|придерживаться
adjacent|смежный
adjective|прилагательное
adjust|настраивать
admire|восхищаться
admit|признавать
adolescent|подросток
adopt|принимать
adopt|усыновить
adore|обожать
adorn|украшать
adult|взрослый
adultery|прелюбодеяние
advance|продвигаться
advantage|преимущество
adventure|приключение
adverb|наречие
adversary|противник
adverse|неблагоприятный
advertise|рекламировать
advice|совет
advise|советовать
advocate|защищать
aerial|воздушный
aerial|антенна
affair|дело
affair|роман
affect|воздействовать
affection|привязанность
affiliate|филиал
affirm|утверждать
afflict|поражать
affluent|обеспеченный
afford|позволить себе
afraid|напуганный
after all|все-таки
aftermath|последствие
age|век
age|возраст
agenda|повестка дня
aggravate|обострять
aggregate|совокупный
agile|проворный
agitate|волновать
agree|соглашаться
agreement|соглашение
agriculture|сельское хозяйство
ahead|вперед
aid|помощь
ailment|недомогание
aim|цель
air|вид
airborne|находящийся в воздухе
aircraft|самолет
airline|авиалиния
aisle|проход
akin|похожий
alarm|тревога
alas|увы
albeit|хотя
alert|тревога
alien|чужак
alienate|отчуждать
align|выравнивать
alike|подобно
alive|живой
all along|все время
allege|утверждать
allegiance|верность
allocate|распределять
allot|выделять
allow|разрешать
allow for|выделять
allowance|выплата
allude|намекать
allure|очарование
ally|союзник
almost|почти
alone|в одиночестве
alongside|рядом
aloud|вслух
alter|изменять
alternate|чередовать
although|хотя и
altitude|высота
altogether|в целом
amateur|любитель
amaze|поражать
ambassador|посол
amber|янтарь
ambiguous|двусмысленный
ambulance|скорая помощь
